"","index"
"LEND",1.35051646749961
"PLBT",1.13889475720033
"BCPT",1.25700621413113
"SALT",1.07763486409449
"VIB",1.30981481016428
"ICOS",0.946503216206715
"CFI",1.15130670971997
"KICK",0.95844670830201
"BNT",0.908370166521985
"BNB",1.03270531884163
"COB",1.0496711676931
"B2B",1.03165520633263
"FUN",1.18629012114313
"WILD",1.44522950248338
"NXC",1.21678388698331
"RLC",0.635938625860561
"RHOC",1.21953816804862
"EVX",1.20407477822723
"PAY",1.106271561981
"EDO",1.33109995217453
"CTR",1.22594232275957
"HMQ",1.1087765668339
"DENT",1.43385087084283
"TIME",0.888454281576639
"SPF",1.29762171678586
"ARC",0.793916732289241
"SNOV",0.799283413985371
"STORJ",1.09990099886962
"ADX",1.13292530594128
"DCN",1.08136085377936
"TAAS",0.68388079115
"QAU",0.926282491540977
"NIO",1.78062460767685
"STEEM",1.26706663018024
"LUN",1.48086991429169
"WABI",1.1609222224926
